code,description,approach
21000100,Long-term Debts Adjustments,main
22000000,Deferred Income Tax Liabilities,main
22000001,Lease Liability (ROU) - Noncurrent,main
22000002,Provision for Mine Rehabilitation and Decommission,main
22000003,Pension Liability,main
22000004,Deferred Income - Noncurrent,main
22000100,Lease Liability (ROU) Adjustments,main
22000101,Deferred Income Adjustment,main
30000000,Common Stock,main
30000001,Preferred Stock,main
30000002,Stock Dividend Distributable,main
30000003,Deposits for Future Stock Subscription (Cr),main
30000004,Additional Paid-in Capital,main
30000005,Paid in Capital from Treasury Stock,main
31000000,Cost of Share-based Payment Plan,main
32000000,Net Valuation Losses (Gains) on Financial Assets,main
33000000,Retained Earnings - Unappropriated,main
33000001,Retained Earnings - Appropriated,main
34000000,Treasury Stock,main
40000000,Revenue Foreign - Saprolite,main
40000001,Revenue Foreign - Limonite,main
40000002,Revenue Domestic - Limonite,main
40000003,Revenue Domestic - Limestone,main
40000004,Revenue Domestic - Quarry Materials,main
40001000,Billed Revenue - Management Services,main
40001001,Billed Revenue - Marketing Services,main
40001002,Billed Revenue - Materials Handling,main
40001003,Billed Revenue - Pier Usage and Others,main
40002000,Billed Revenue - Power,main
40002001,Billed Revenue - Capital Recovery Fee,main
50000000,COGS Ore - Personnel Cost,main
50000001,COGS Ore - Outside Services,main
50000002,COGS Ore - Depreciation Amortization & Depletion,main
50000003,COGS Ore - Production Overhead,main
50000004,COGS Ore - General,main
50001000,COGS Limestone - Personnel Cost,main
50001001,COGS Limestone - Outside Services,main
50001002,COGS Limestone - Depreciation Amort & Depletion,main
50001003,COGS Limestone - Production Overhead,main
50001004,COGS Limestone - General,main
50002000,COGS Quarry Material - Personnel Cost,main
50002001,COGS Quarry Material - Outside Services,main
50002002,COGS Quarry Material - Depreciation Amort & Depl,main
50002003,COGS Quarry Material - Production Overhead,main
50002004,COGS Quarry Material - General,main
50003000,Cost of Goods Manufactured,main
50100000,COSO MH - Personnel Cost,main
50100001,COSO MH - Outside Services,main
50100002,COSO MH - Depreciation,main
50100003,COSO MH - Overhead,main
50101000,COSO TSEZ - Personnel Cost,main
50101001,COSO TSEZ - Outside Services,main
50101002,COSO TSEZ - Depreciation,main
50101003,COSO TSEZ - Overhead,main
50101004,COSO TSEZ - Equipment Operating Cost,main
50102000,COSO Others - Personnel Cost,main
50102001,COSO Others - Overhead,main
50200000,COPG - Materials and Supplies,main
50200001,COPG - Personnel Cost,main
50200002,COPG - Outside Services,main
50200003,COPG - Depreciation and Amortization,main
50200004,COPG - Overhead,main
50300000,Loss (Gain) from Production Variances,main
50300001,Loss (Gain) Variance - Equipment,main
50300002,Loss (Gain) Variance - Man Hour,main
50300003,Loss (Gain) Variance - Fuel,main
50300004,Loss (Gain) Variance - External Service,main
50300005,Loss (Gain) Variance - Maintenance Cost,main
50300006,Loss (Gain) Variance - Others,main
50300007,Loss (Gain) Variance - Production Overhead,main
50300008,Loss (Gain) Variance - Mine Support,main
50300009,Loss (Gain) from Revaluation - Inventory,main
50300010,Loss (Gain) from Revaluation - COGS,main
50300011,Loss (Gain) Variance - Specialized Equipment,main
60000000,S&L - Personnel Cost,mh
60000001,S&L - Contract Fees,main
60000002,S&L - Depreciation and Amortization,main
60000003,S&L - Other Services and Fees,main
60000004,S&L - Materials and Supplies,main
60000005,S&L - General,main
60100000,Excise Taxes,main
60100001,Royalty - Government,main
60100002,Royalty - Claimowner,main
60100003,Royalty - IP and Others,main
60200000,Commission Expenses,main
60200001,Marketing Expenses,main
60300000,Payroll - Salaries (Regular),mh
60300001,Payroll - Salaries (Seasonal),mh
60300002,Payroll - Salaries (Fixed Term/Project),mh
60300003,Payroll - Salaries (Others),mh
60300004,Payroll - Overtime (Regular),mh
60300005,Payroll - Overtime (Seasonal),mh
60300006,Payroll - Overtime (Fixed Term/Project),mh
60300007,Payroll - Overtime (Others),mh
60300008,Payroll - 13th Month and Other Bonuses (Regular),mh
60300009,Payroll - 13th Month and Other Bonuses (Seasonal),mh
60300010,Payroll - 13th Month and Other Bonuses (FT/Others),mh
60300011,Payroll - Leave Commutation (Regular),mh
60300012,Payroll - Leave Commutation (Seasonal),mh
60300013,Payroll - Leave Commutation (FT/Others),mh
60300014,Payroll - De Minimis Benefits (Regular),mh
60300015,Payroll - De Minimis Benefits (Seasonal),mh
60300016,Payroll - De Minimis Benefits (FT/Others),mh
60300017,SSS Contributions (Regular),mh
60300018,SSS Contributions (Seasonal),mh
60300019,SSS Contributions (FT/Others),mh
60300020,PHIC Contributions (Regular),mh
60300021,PHIC Contributions (Seasonal),mh
60300022,PHIC Contributions (FT/Others),mh
60300023,HDMF Contributions (Regular),mh
60300024,HDMF Contributions (Seasonal),mh
60300025,HDMF Contributions (FT/Others),mh
60300026,ESOP Expense,mh
60300027,Retirement Benefits,mh
60300028,Employee Benefits,mh
60300029,Other Employee Allowances,mh
60300030,Employee Uniform (Regular),mh
60300031,Employee Uniform (Seasonal),mh
60300032,Employee Uniform (FT/Others),mh
60300033,Hospital and Medical Expenses - Employees,mh
60300034,Food Allowance,mh
60300035,Sports and Recreation,mh
60300036,Awards and Prizes,mh
60300100,Payroll - PM Adjustment,oh
60300200,Payroll - PS Adjustment,oh
60300300,Payroll - Other Adjustment,oh
60300400,BLOCKED Payroll - Other Adjustment,mh
60400000,Training and Education - Employees,main
60400001,Training and Education - Others,mh
60400100,Trainings and Seminar - Other Adjustment,mh
60400200,BLOCKED Trainings and Seminar - Other Adjustment,mh
60500000,Repairs and Maintenance - Labor,oh
60500001,Repairs and Maintenance - Parts,oh
60500100,Outside Services - PM Adjustment,oh
60500200,Outside Services - PS Adjustment,oh
60500300,Repairs and Maintenance - Other Adjustment,oh
60600000,Rent Expense - Building/Office space,main
60600001,Rent Expense - Equipment,main
60600002,Rent Expense - Others,main
60600100,Rent Expense - Other Adjustment,main
60700000,Electricity and Other Utilities,main
60700001,Water,main
60700002,Telephone and Other Communication,main
60700003,Fax and Internet,main
60700004,Postage and Shipping,main
60700005,Freight and Handling,main
60700100,Communication and Other Utilities - Other Adj,main
60700200,BLOCKED Communication and Other Utilities - Other Adj,main
60800000,Dues and Subscription,main
60800100,Dues and Subscription - Other Adjustment,main
60800200,BLOCKED Dues and Subscription - Other Adjustment,main
60900000,Life and Medical Insurance - Employees,mh
60900001,Insurance - Others,mh
60900100,Insurance -  Other Adjustment,mh
60900200,BLOCKED Insurance -  Other Adjustment,mh
61000000,Depreciation Expense - Land Improvements,main
61001000,Depletion Expense - Mine and Mining Property,main
61001001,Depletion Expense - Asset Retirement Obligation,main
61001002,Amortization Expense - Development Costs,main
61002000,Dep Exp - Buildings (ROU),main
